Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2018,331.25,333.75,326.15,327.45,330.068565260106492655,494682,5269,163278978.00,175606,35.50,7.60,-3.80
27-March-2018,333.90,335.70,330.00,331.05,332.975553592979113973,432538,4140,144024580.00,160260,37.05,5.70,-2.85
26-March-2018,330.00,333.70,324.50,332.05,328.866346048435913690,629409,6425,206991438.00,192970,30.66,9.20,2.05
23-March-2018,331.00,335.00,330.10,331.10,331.996052565329036805,496525,6363,164844340.00,186412,37.54,4.90,0.10
22-March-2018,339.80,339.90,335.00,338.20,337.966973262387623699,481307,5298,162665870.00,116768,24.26,4.90,-1.60
21-March-2018,340.00,342.30,332.60,333.90,337.159359335475352290,494549,4928,166741824.00,163375,33.04,9.70,-6.10
20-March-2018,335.75,340.40,333.40,339.25,338.304500960321271116,366544,4119,124003485.00,105445,28.77,7.00,3.50
19-March-2018,341.90,342.45,332.55,335.75,336.804862105793306924,559922,10756,188584452.00,203272,36.30,9.90,-6.15
16-March-2018,352.90,352.90,339.00,340.10,343.699431381893310217,707153,8572,243048084.00,280691,39.69,13.90,-12.80
15-March-2018,355.00,358.40,351.30,353.05,354.650036658915924442,2625555,4427,931153177.00,2111294,80.41,7.10,-1.95
14-March-2018,352.85,354.95,349.80,354.15,352.251917086917828537,269680,2654,94995297.00,66512,24.66,5.15,1.30
13-March-2018,351.95,356.35,350.05,353.75,353.870112127719882433,391607,4395,138578013.00,105824,27.02,6.30,1.80
12-March-2018,344.55,353.05,340.65,352.20,346.722026444353088520,522985,5488,181330419.00,134057,25.63,12.40,7.65
9-March-2018,345.00,348.70,340.65,341.70,344.115032202036211636,487081,5083,167611894.00,151485,31.10,8.05,-3.30
8-March-2018,350.55,351.80,341.75,345.90,345.569486279779151887,471093,5578,162795366.00,152322,32.33,10.05,-4.65
7-March-2018,345.00,354.90,342.90,348.00,349.217265980788459806,844076,9106,294765913.00,207714,24.61,12.00,3.00
6-March-2018,356.95,358.00,345.00,346.60,351.622460338841756934,786916,8663,276697340.00,289414,36.78,13.00,-10.35
5-March-2018,370.85,370.85,351.00,352.15,357.356072209511569569,888581,10578,317539816.00,378036,42.54,19.85,-18.70
1-March-2018,367.90,376.25,367.90,370.85,372.644600441605206292,593743,5668,221255123.00,230100,38.75,8.35,2.95
28-February-2018,369.00,373.50,367.05,370.20,370.736333505027657716,357224,3621,132435916.00,89486,25.05,6.45,1.20
27-February-2018,375.00,376.80,370.55,372.85,373.282545098618196930,365754,4653,136529584.00,92624,25.32,6.25,-2.15
26-February-2018,362.00,373.50,362.00,372.05,370.129599973827770371,611335,7760,226273179.00,192257,31.45,11.50,10.05
23-February-2018,357.55,364.50,357.55,360.45,361.537472150743605975,486548,4940,175905334.00,124812,25.65,6.95,2.90
22-February-2018,364.00,364.00,357.90,358.55,360.043576474544621858,451987,5950,162735016.00,165071,36.52,6.10,-5.45
21-February-2018,370.30,374.00,363.00,364.35,365.067187802261576068,454904,11900,166070524.00,184690,40.60,11.00,-5.95
